price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement;yr_built;yr_renovated;street;city;statezip;country;kelayakan
435000.0;4.0;1.0;1450;8800;1.0;0;0;4;1450;0;1954;1979;3922 154th Ave SE;Bellevue;WA 98006;USA;Tidak Layak
626000.0;3.0;2.25;1750;1572;2.5;0;0;3;1470;280;2005;0;3140 Franklin Ave E;Seattle;WA 98102;USA;Tidak Layak
612500.0;4.0;2.5;2730;12261;2.0;0;0;3;2730;0;1991;0;10212 NE 156th Pl;Bothell;WA 98011;USA;Tidak Layak
495000.0;4.0;1.75;1600;6380;1.0;0;0;3;1130;470;1959;1989;2021 NE 100th St;Seattle;WA 98125;USA;Tidak Layak
285000.0;3.0;2.5;2090;10834;1.0;0;0;4;1360;730;1987;0;27736 23rd Avenue South;Federal Way;WA 98003;USA;Tidak Layak
615000.0;3.0;1.75;2360;7291;1.0;0;0;4;1360;1000;1948;0;8436-8438 41st Ave SW;Seattle;WA 98136;USA;Tidak Layak
698000.0;4.0;2.25;2200;11250;1.5;0;0;5;1300;900;1920;0;1036 4th St;Kirkland;WA 98033;USA;Tidak Layak
675000.0;5.0;2.5;2820;67518;2.0;0;0;3;2820;0;1979;2014;23525 SE 32nd Way;Issaquah;WA 98029;USA;Tidak Layak
790000.0;3.0;2.5;2600;4750;1.0;0;0;4;1700;900;1951;1999;3314 NW 75th St;Seattle;WA 98117;USA;Tidak Layak
382500.0;4.0;1.75;1560;8700;1.0;0;0;4;1560;0;1967;0;14104 119th Ave NE;Kirkland;WA 98034;USA;Tidak Layak
499950.0;4.0;2.5;2860;3345;2.0;0;0;3;2190;670;2004;2003;20120 137th Ave NE;Woodinville;WA 98072;USA;Tidak Layak
650000.0;4.0;2.0;1820;5000;1.5;0;1;3;1640;180;1945;2010;7201-7399 55th Ave NE;Seattle;WA 98115;USA;Layak
625000.0;4.0;2.5;2820;8408;2.0;0;0;3;2820;0;2014;0;17052 4th Ave NE;Shoreline;WA 98155;USA;Tidak Layak
400000.0;4.0;2.5;3630;42884;1.5;0;0;3;2300;1330;1979;2014;5172-5198 Heather Ave SE;Auburn;WA 98092;USA;Tidak Layak
604000.0;3.0;2.5;3240;33151;2.0;0;2;3;3240;0;1995;0;30822 36th Ct SW;Federal Way;WA 98023;USA;Layak
440000.0;2.0;1.0;800;4850;1.0;0;0;4;800;0;1944;0;4801-4899 6th Ave NW;Seattle;WA 98107;USA;Tidak Layak
287200.0;3.0;3.0;1850;19966;1.0;0;0;4;1090;760;1992;0;23017 SE 281st Ct;Maple Valley;WA 98038;USA;Tidak Layak
403000.0;3.0;2.0;1960;13100;1.0;0;2;5;1650;310;1957;0;17825 4th Ave SW;Normandy Park;WA 98166;USA;Layak
750000.0;3.0;2.5;2390;6550;1.0;0;2;4;1440;950;1955;2009;3628 59th Ave SW;Seattle;WA 98116;USA;Layak
335000.0;3.0;2.25;1580;16215;1.0;0;0;4;1580;0;1978;2000;4460 332nd Ave SE;Fall City;WA 98024;USA;Tidak Layak
260000.0;4.0;2.0;1480;8625;1.0;0;0;4;1480;0;1974;0;2019 Aberdeen Pl SE;Renton;WA 98055;USA;Tidak Layak
308500.0;2.0;1.0;850;6174;1.0;0;0;4;850;0;1950;1983;121 NE 147th St;Shoreline;WA 98155;USA;Tidak Layak
439950.0;3.0;2.5;1770;2875;2.0;0;0;3;1770;0;1990;2009;4458 51st Ave SW;Seattle;WA 98116;USA;Tidak Layak
235000.0;2.0;1.0;1210;9400;1.0;0;0;2;1210;0;1949;0;7542 21st Ave SW;Seattle;WA 98106;USA;Tidak Layak
315000.0;3.0;1.0;1160;9180;1.0;0;0;3;1160;0;1968;1997;15804 198th Pl NE;Woodinville;WA 98077;USA;Tidak Layak
437500.0;3.0;2.25;1970;35100;2.0;0;0;4;1970;0;1977;0;26069 SE 154th St;Issaquah;WA 98027;USA;Tidak Layak
407500.0;3.0;2.5;1930;10460;2.0;0;0;3;1930;0;1996;0;4314 NE 6th Pl;Renton;WA 98059;USA;Tidak Layak
445700.0;3.0;2.5;1270;1180;3.0;0;0;3;1270;0;2001;0;2640 NW 56th St;Seattle;WA 98107;USA;Tidak Layak
838000.0;4.0;2.5;3310;42998;2.0;0;0;3;3310;0;2001;0;15712 NE 136th Pl;Redmond;WA 98052;USA;Tidak Layak
630000.0;4.0;2.75;2710;37277;2.0;0;0;3;2710;0;2000;0;26429 SE 154th Pl;Issaquah;WA 98027;USA;Tidak Layak
550000.0;3.0;1.75;2910;35200;1.5;0;0;3;2910;0;1979;2014;3923 229th Pl SE;Sammamish;WA 98075;USA;Tidak Layak
805000.0;3.0;2.0;2710;4500;1.5;0;0;4;1880;830;1929;0;6222 30th Ave NE;Seattle;WA 98115;USA;Tidak Layak
284000.0;3.0;1.75;1800;23103;1.0;0;0;3;1800;0;1968;1997;32418 NE 50th St;Carnation;WA 98014;USA;Tidak Layak
470000.0;5.0;2.5;2210;9655;1.0;0;0;3;1460;750;1976;0;19334 89th Ave NE;Bothell;WA 98011;USA;Tidak Layak
430000.0;4.0;1.5;1920;10000;1.0;0;0;4;1070;850;1954;1979;4071 156th Ave SE;Bellevue;WA 98006;USA;Tidak Layak
491500.0;4.0;1.75;2190;125452;1.0;0;2;3;2190;0;1968;1997;36850 204th Ave SE;Auburn;WA 98092;USA;Layak
785000.0;5.0;3.25;3660;11995;2.0;0;2;3;3660;0;2006;0;7425 Snowberry Ave SE;Snoqualmie;WA 98065;USA;Layak
385000.0;3.0;3.25;1320;1327;2.0;0;0;3;1040;280;2008;0;3400 21st Ave W;Seattle;WA 98199;USA;Tidak Layak
295000.0;2.0;2.5;1630;1368;2.0;0;0;3;1280;350;2009;0;5944-6082 Delridge Way SW;Seattle;WA 98106;USA;Tidak Layak
555000.0;4.0;2.5;3310;6500;2.0;0;0;3;3310;0;2012;1912;35229 SE Terrace St;Snoqualmie;WA 98065;USA;Tidak Layak
459990.0;3.0;2.5;2680;5539;2.0;0;0;3;2680;0;2013;1923;13800 453rd Ave SE;North Bend;WA 98045;USA;Tidak Layak
625000.0;4.0;3.25;2730;54014;1.0;0;0;3;1560;1170;2007;0;9927 174th Ave SE;Renton;WA 98059;USA;Tidak Layak
300000.0;3.0;2.5;2540;5050;2.0;0;0;3;2540;0;2006;0;29734 215th Terrace SE;Kent;WA 98042;USA;Tidak Layak
625000.0;4.0;2.75;2920;6605;2.0;0;0;3;2920;0;2012;1912;5608 NE 5th Cir;Renton;WA 98059;USA;Tidak Layak
553000.0;2.0;1.0;900;5000;1.0;0;0;3;900;0;1944;0;8053 29th Ave NW;Seattle;WA 98117;USA;Tidak Layak
379880.0;3.0;2.5;1650;14054;1.0;0;0;4;1130;520;1986;0;13256 242nd Pl SE;Issaquah;WA 98027;USA;Tidak Layak
310000.0;3.0;1.0;1010;9945;1.0;0;0;4;1010;0;1973;0;7528 N Fork Rd SE;Snoqualmie;WA 98065;USA;Tidak Layak
775000.0;2.0;2.5;2680;7392;1.0;0;0;3;2680;0;2004;2003;13134 234th Ct NE;Redmond;WA 98053;USA;Tidak Layak
365000.0;3.0;2.5;2200;7350;1.0;0;0;5;1570;630;1988;0;13420 SE 182nd St;Renton;WA 98058;USA;Tidak Layak
331950.0;4.0;2.5;2530;9933;2.0;0;2;3;2010;520;1990;2009;925 48th Ct;Auburn;WA 98092;USA;Layak
783500.0;3.0;2.5;2850;7130;2.0;0;0;3;1990;860;1980;0;151 Euclid Ave;Seattle;WA 98122;USA;Tidak Layak
628000.0;4.0;2.0;2280;6010;1.0;0;0;3;1140;1140;1900;2005;205-206 Euclid Ave;Seattle;WA 98122;USA;Tidak Layak
560000.0;3.0;2.5;1900;8744;2.0;0;0;3;1900;0;1987;2000;22314 NE 11th Pl;Sammamish;WA 98074;USA;Tidak Layak
900000.0;3.0;1.0;1330;77972;1.0;0;0;3;1330;0;1928;1954;13615 NE 100th St;Kirkland;WA 98033;USA;Tidak Layak
531000.0;2.0;3.0;1270;1175;2.0;0;0;3;1110;160;2000;0;1411 N 48th St;Seattle;WA 98103;USA;Tidak Layak
831000.0;4.0;3.0;2170;4000;2.0;0;0;4;1610;560;1982;2011;120 31st Ave E;Seattle;WA 98112;USA;Tidak Layak
780000.0;4.0;2.5;2730;10281;2.0;0;2;3;2730;0;1996;0;23140 NE 14th Ct;Sammamish;WA 98074;USA;Layak
755000.0;4.0;2.5;2120;10202;1.0;0;0;4;1620;500;1960;2001;12645 SE 27th St;Bellevue;WA 98005;USA;Tidak Layak
705380.0;3.0;2.5;2490;4343;2.0;0;0;3;2490;0;2003;0;3187 NE Larkspur Ln;Issaquah;WA 98029;USA;Tidak Layak
627000.0;4.0;2.25;1990;7712;1.0;0;0;3;1210;780;1973;2013;18915 SE 42nd Pl;Issaquah;WA 98027;USA;Tidak Layak
865000.0;4.0;3.0;3690;9892;2.0;0;0;3;3690;0;1998;2006;1765 267th Ct SE;Sammamish;WA 98075;USA;Tidak Layak
580000.0;2.0;1.0;2540;7000;1.0;0;0;5;1320;1220;1942;0;8624 Island Dr S;Seattle;WA 98118;USA;Tidak Layak
410000.0;3.0;2.25;1800;36704;1.0;0;0;4;1360;440;1978;2000;24502 SE Mirrormont Dr;Issaquah;WA 98027;USA;Tidak Layak
485000.0;4.0;3.0;2340;7048;1.0;0;0;4;1340;1000;1979;0;14319 85th Pl NE;Kirkland;WA 98034;USA;Tidak Layak
400000.0;2.0;1.75;2110;9519;1.0;0;0;2;2110;0;1948;0;2120 NE 168th St;Shoreline;WA 98155;USA;Tidak Layak
549000.0;2.0;1.0;1140;5400;1.0;0;0;5;1140;0;1908;0;209 30th Ave E;Seattle;WA 98112;USA;Tidak Layak
620000.0;3.0;1.75;1480;2185;2.5;0;0;3;1480;0;2005;0;10512 128th Ave NE;Kirkland;WA 98033;USA;Tidak Layak
405000.0;2.0;3.0;1410;1240;2.0;0;0;3;1140;270;2006;0;9126 45th Ave SW;Seattle;WA 98136;USA;Tidak Layak
232000.0;2.0;1.0;1200;8063;1.0;0;0;4;1200;0;1958;1972;20220 8th Ave S;Des Moines;WA 98198;USA;Tidak Layak
800866.0;5.0;2.5;3180;13806;2.0;0;0;4;3180;0;1990;0;11821 NE 48th Pl;Kirkland;WA 98033;USA;Tidak Layak
650000.0;3.0;1.5;2160;9000;1.0;0;2;4;1400;760;1949;1985;13026 10th Ave NW;Seattle;WA 98177;USA;Layak
823000.0;6.0;1.75;2920;5000;2.5;0;0;4;2780;140;1908;0;125 29th Ave;Seattle;WA 98122;USA;Tidak Layak
770000.0;3.0;2.0;2350;5700;1.5;0;0;4;1810;540;1939;1989;2171 Boyer Ave E;Seattle;WA 98112;USA;Tidak Layak
524000.0;3.0;1.75;1560;5520;1.0;0;0;4;780;780;1944;0;3434 33rd Ave W;Seattle;WA 98199;USA;Tidak Layak
541125.0;5.0;2.75;2740;8426;1.0;0;0;4;1370;1370;1960;2001;5211 116th Pl SE;Bellevue;WA 98006;USA;Tidak Layak
670000.0;3.0;2.5;1680;2000;3.0;0;0;3;1680;0;1909;1998;3503 NE 44th St;Seattle;WA 98105;USA;Tidak Layak
384900.0;5.0;2.5;3090;12750;1.0;0;0;3;1750;1340;1968;1997;114 SW 292nd St;Federal Way;WA 98023;USA;Tidak Layak
406100.0;3.0;2.25;1410;1332;3.0;0;0;3;1410;0;2005;0;8536 Interlake Ave N;Seattle;WA 98103;USA;Tidak Layak
1395000.0;5.0;3.5;4010;8510;2.0;0;1;5;2850;1160;1971;0;3930 NE Belvoir Pl;Seattle;WA 98105;USA;Layak
736500.0;4.0;2.5;3180;21904;2.0;0;3;3;3180;0;2000;0;17132 SE 100th St;Renton;WA 98059;USA;Layak
570000.0;3.0;2.25;2010;6000;1.0;0;0;3;1330;680;1975;0;10204 168th Pl NE;Redmond;WA 98052;USA;Tidak Layak
787000.0;3.0;1.75;1330;7500;1.0;0;0;3;1330;0;1961;2004;218 109th Ave SE;Bellevue;WA 98004;USA;Tidak Layak
328000.0;4.0;2.5;2370;6500;2.0;0;0;3;2370;0;1998;2006;12621 SE 300th Way;Auburn;WA 98092;USA;Tidak Layak
435000.0;5.0;2.0;1840;9240;1.0;0;0;4;1540;300;1942;1958;14013 Ashworth Ave N;Seattle;WA 98133;USA;Tidak Layak
499000.0;4.0;2.5;2910;6479;2.0;0;0;3;2910;0;2006;0;34010 SE Sorenson St;Snoqualmie;WA 98065;USA;Tidak Layak
501000.0;4.0;1.0;2070;7519;1.0;0;0;3;1160;910;1963;2008;2506 166th Ave NE;Bellevue;WA 98008;USA;Tidak Layak
1090000.0;4.0;2.5;4340;141570;2.5;0;0;3;4340;0;1992;0;8814 218th Ave NE;Redmond;WA 98053;USA;Tidak Layak
400000.0;2.0;1.0;840;5510;1.0;0;0;3;840;0;1955;2005;4515 SW Trenton St;Seattle;WA 98136;USA;Tidak Layak
220000.0;4.0;1.5;1240;9600;1.0;0;0;3;1240;0;1971;0;4924 SW 314th Pl;Federal Way;WA 98023;USA;Tidak Layak
657100.0;4.0;1.0;1390;4240;1.0;0;0;3;1050;340;1924;2011;4312 Woodlawn Ave N;Seattle;WA 98103;USA;Tidak Layak
309950.0;4.0;2.75;2310;5000;2.0;0;0;3;2310;0;2006;0;22912 SE 268th Pl;Maple Valley;WA 98038;USA;Tidak Layak
300000.0;3.0;2.0;1050;10072;1.0;0;0;3;1050;0;1986;0;27106 NE Miller St;Duvall;WA 98019;USA;Tidak Layak
525888.0;5.0;1.75;2550;71874;1.0;0;0;5;1810;740;1960;0;13129 195th Pl SE;Issaquah;WA 98027;USA;Tidak Layak
740000.0;4.0;1.75;2010;3600;1.5;0;0;3;2010;0;1902;0;1014 W Garfield St;Seattle;WA 98119;USA;Tidak Layak
340000.0;5.0;1.0;1120;9022;1.5;0;0;4;1120;0;1962;0;14150 75th Ave NE;Kirkland;WA 98034;USA;Tidak Layak
398750.0;3.0;2.5;2230;4000;2.0;0;0;3;2230;0;1954;2005;2601 21st Ave S;Seattle;WA 98144;USA;Tidak Layak
206000.0;2.0;1.0;810;7158;1.0;0;0;5;810;0;1944;0;12807 7th Ave S;Burien;WA 98168;USA;Tidak Layak
1030000.0;5.0;2.75;3190;16920;1.0;0;3;3;1690;1500;1976;0;4529 135th Ave SE;Bellevue;WA 98006;USA;Layak
600000.0;3.0;1.75;1670;39639;1.0;0;0;4;1670;0;1976;1992;1804 E Beaver Lake Dr SE;Sammamish;WA 98075;USA;Tidak Layak
379950.0;4.0;1.75;1970;9389;1.0;0;0;5;1140;830;1960;0;1701 N 204th Pl;Shoreline;WA 98133;USA;Tidak Layak
287000.0;3.0;1.0;1450;6000;1.0;0;0;4;1450;0;1953;1983;8681 Beacon Ave S;Seattle;WA 98118;USA;Tidak Layak
2280000.0;7.0;8.0;13540;307752;3.0;0;4;3;9410;4130;1999;0;26408 NE 70th St;Redmond;WA 98053;USA;Layak
309950.0;3.0;2.5;1880;7838;2.0;0;0;3;1880;0;1994;0;17717 113th Pl SE;Renton;WA 98055;USA;Tidak Layak
600000.0;3.0;1.75;1880;6360;1.0;0;0;4;1040;840;1945;0;8040 39th Ave NE;Seattle;WA 98115;USA;Tidak Layak
418000.0;3.0;2.0;1410;6030;1.5;0;0;4;1410;0;1930;0;901 N 97th St;Seattle;WA 98103;USA;Tidak Layak
449250.0;4.0;2.0;1480;3844;1.5;0;0;5;1480;0;1928;1970;519 N 104th St;Seattle;WA 98133;USA;Tidak Layak
329950.0;2.0;1.0;1140;5250;1.5;0;0;4;1140;0;1949;1985;14017 Roslyn Pl N;Seattle;WA 98133;USA;Tidak Layak
245000.0;3.0;1.75;1920;9306;1.0;0;0;3;1000;920;1984;0;30001-30021 55th Pl S;Auburn;WA 98001;USA;Tidak Layak
549000.0;4.0;2.5;2910;6338;2.0;0;0;3;2910;0;2008;0;16026 SE 137th Terrace;Renton;WA 98059;USA;Tidak Layak
800000.0;3.0;2.5;3240;7857;2.0;0;0;3;3240;0;1994;0;22721-22727 SE 27th St;Sammamish;WA 98075;USA;Tidak Layak
249950.0;3.0;2.0;1550;15040;1.0;0;0;4;1550;0;1958;1972;18027 SE 128th St;Renton;WA 98059;USA;Tidak Layak
210000.0;5.0;2.0;2050;10200;1.0;0;0;3;1430;620;1956;2001;20927-20999 2nd Ave S;Des Moines;WA 98198;USA;Tidak Layak
1425000.0;2.0;2.5;2220;4000;2.0;0;0;3;2220;0;2000;0;1857 41st Ave E;Seattle;WA 98112;USA;Tidak Layak
585000.0;2.0;1.0;1770;8640;1.5;0;0;3;1520;250;1949;1998;353 NW 88th St;Seattle;WA 98117;USA;Tidak Layak
615000.0;4.0;1.75;2300;11700;1.0;0;0;4;1960;340;1977;0;18427 NE 26th Way;Redmond;WA 98052;USA;Tidak Layak
618500.0;3.0;2.0;1800;5000;1.0;0;0;4;1080;720;1942;1982;2803 NE 62nd St;Seattle;WA 98115;USA;Tidak Layak
487585.0;4.0;1.75;2010;9211;1.0;0;0;3;1470;540;1977;2004;13313 127th Pl NE;Kirkland;WA 98034;USA;Tidak Layak
509900.0;3.0;2.5;1790;2700;2.0;0;0;3;1790;0;2010;0;4532 185th Ave SE;Issaquah;WA 98027;USA;Tidak Layak
631625.0;4.0;2.5;2440;6651;2.0;0;0;3;2440;0;2014;0;9288-9358 Holman Rd NW;Seattle;WA 98117;USA;Tidak Layak
555000.0;3.0;2.5;1940;3211;2.0;0;0;3;1940;0;2009;0;4509 185th Ave SE;Issaquah;WA 98027;USA;Tidak Layak
340000.0;2.0;1.5;1160;1438;2.0;0;0;3;1160;0;2001;0;1318 29th Ave S;Seattle;WA 98144;USA;Tidak Layak
830000.0;4.0;2.5;3400;9692;2.0;0;0;3;3400;0;2007;0;12001 173rd Pl NE;Redmond;WA 98052;USA;Tidak Layak
890000.0;4.0;4.25;4420;5750;2.0;0;0;3;3410;1010;2006;0;842 Summerhill Ridge Dr NW;Issaquah;WA 98027;USA;Tidak Layak
366750.0;3.0;3.0;1571;2017;3.0;0;0;3;1571;0;2008;0;14359 19th Ave NE;Seattle;WA 98125;USA;Tidak Layak
415000.0;3.0;2.25;1620;998;2.5;0;0;3;1540;80;2010;0;935 4th Ave NE;Issaquah;WA 98029;USA;Tidak Layak
416286.0;3.0;2.5;1408;989;3.0;0;0;3;1408;0;2005;0;7809 12th Ave NE;Seattle;WA 98115;USA;Tidak Layak
478000.0;3.0;2.5;3040;4535;2.0;0;0;3;3040;0;2007;0;2027 Ferndale Ave NE;Renton;WA 98056;USA;Tidak Layak
890000.0;5.0;3.5;4490;6000;2.0;0;0;3;3200;1290;2006;0;792 Summerhill Ridge Dr NW;Issaquah;WA 98027;USA;Tidak Layak
419190.0;2.0;2.5;1590;1426;2.0;0;0;3;1590;0;2014;0;1273 NE Hickory Ln;Issaquah;WA 98029;USA;Tidak Layak
712198.0;4.0;2.5;2450;4247;2.0;0;0;3;2450;0;2013;1923;17122 NE 117th St;Redmond;WA 98052;USA;Tidak Layak
397000.0;4.0;2.0;1440;7680;1.0;0;0;3;1200;240;1971;0;10601 NE 138th Pl;Kirkland;WA 98034;USA;Tidak Layak
450000.0;2.0;2.0;1100;3000;1.5;0;0;3;1100;0;1912;2005;412 NW 70th St;Seattle;WA 98117;USA;Tidak Layak
353000.0;3.0;1.0;1350;7740;1.0;0;0;4;860;490;1947;1988;11051 35th Ave NE;Seattle;WA 98125;USA;Tidak Layak
609000.0;4.0;2.5;2150;37981;2.0;0;0;3;2150;0;1985;0;18114 NE 136th St;Redmond;WA 98052;USA;Tidak Layak
234000.0;3.0;1.75;1490;8366;1.0;0;0;4;1010;480;1975;0;25305 151st Pl SE;Covington;WA 98042;USA;Tidak Layak
561000.0;3.0;2.0;2000;7000;2.0;0;0;3;2000;0;1916;1986;6422 Marshall Ave SW;Seattle;WA 98136;USA;Tidak Layak
469000.0;2.0;1.0;1030;4400;1.0;0;0;3;1030;0;1924;2011;310 NW 72nd St;Seattle;WA 98117;USA;Tidak Layak
329350.0;2.0;1.0;720;6687;1.0;0;0;3;720;0;1942;1999;9712 4th Ave NW;Seattle;WA 98117;USA;Tidak Layak
488000.0;5.0;2.0;2020;5000;1.5;0;0;4;2020;0;1938;0;9020-9024 11th Ave NW;Seattle;WA 98117;USA;Tidak Layak
279900.0;3.0;1.75;1580;8151;1.0;0;1;4;1100;480;1962;0;1629 S 261st Pl;Des Moines;WA 98198;USA;Layak
606000.0;4.0;2.5;2110;13850;2.0;0;0;3;2110;0;1987;2000;2755 NW Pine Cone Dr;Issaquah;WA 98027;USA;Tidak Layak
312000.0;4.0;2.0;1300;7054;1.0;0;0;3;1300;0;1950;2013;2815 SW 107th St;Seattle;WA 98146;USA;Tidak Layak
650000.0;3.0;1.5;1630;7475;1.0;0;1;3;1160;470;1940;1996;6009 52nd Ave NE;Seattle;WA 98115;USA;Layak
1135000.0;4.0;2.75;3370;8103;1.0;0;3;3;1970;1400;1970;2014;3922 SW Henderson St;Seattle;WA 98136;USA;Layak
325000.0;4.0;2.5;1890;6156;1.0;0;0;3;980;910;1980;0;5631 17th Ave SW;Seattle;WA 98106;USA;Tidak Layak
425000.0;4.0;2.0;1520;7983;1.0;0;0;5;1520;0;1967;0;14876 Juanita Woodinville Way NE;Inglewood-Finn Hill;WA 98034;USA;Tidak Layak
219000.0;2.0;1.0;900;5160;1.0;0;0;3;900;0;1952;2008;8652 17th Ave SW;Seattle;WA 98106;USA;Tidak Layak
250000.0;3.0;1.0;1050;6874;1.0;0;0;3;1050;0;1954;2005;18305 Dayton Ave N;Shoreline;WA 98133;USA;Tidak Layak
390000.0;3.0;1.75;1260;6500;1.0;0;0;4;1260;0;1966;0;1415 168th Ave NE;Bellevue;WA 98008;USA;Tidak Layak
475000.0;6.0;3.0;3470;117612;1.5;0;0;3;3470;0;1924;2011;19007 80th Ave NE;Kenmore;WA 98028;USA;Tidak Layak
736000.0;4.0;2.5;2290;12047;2.0;0;0;4;2290;0;1988;0;17435 SE 47th St;Bellevue;WA 98006;USA;Tidak Layak
407000.0;4.0;2.25;2810;23400;1.0;0;1;3;1710;1100;1958;2004;23024-23198 17th Ave S;Des Moines;WA 98198;USA;Layak
272000.0;3.0;2.5;1650;13816;2.0;0;0;3;1650;0;1998;2006;32000-32072 NE 55th St;Carnation;WA 98014;USA;Tidak Layak
362000.0;3.0;2.25;1640;14374;1.0;0;0;4;1140;500;1963;0;17253 Ambaum Blvd S;Burien;WA 98148;USA;Tidak Layak
535000.0;3.0;2.5;1850;10109;2.0;0;0;3;1850;0;1991;0;8409 NE 129th Pl;Kirkland;WA 98034;USA;Tidak Layak
284000.0;4.0;2.5;2000;5390;2.0;0;0;3;2000;0;2003;0;25434 160th Ave SE;Kent;WA 98042;USA;Tidak Layak
367500.0;3.0;1.5;1410;9647;1.0;0;0;3;1410;0;1961;2004;18048 3rd Ave NW;Shoreline;WA 98177;USA;Tidak Layak
379900.0;4.0;1.75;1500;11600;1.0;0;0;4;1000;500;1955;2009;15007 75th Ave NE;Kenmore;WA 98028;USA;Tidak Layak
520000.0;3.0;2.5;2460;54885;2.0;0;0;4;2460;0;1980;0;5424 NE 10th St;Renton;WA 98059;USA;Tidak Layak
175000.0;3.0;1.0;1010;7034;1.0;0;0;3;1010;0;1954;2005;207 NW 5th St;Renton;WA 98057;USA;Tidak Layak
460000.0;2.0;2.25;1230;929;2.0;0;0;3;1020;210;2004;2003;100 24th Ave E;Seattle;WA 98112;USA;Tidak Layak
345000.0;4.0;2.5;2331;3826;2.0;0;0;3;2331;0;2007;0;11853 SE 176th Ct;Renton;WA 98058;USA;Tidak Layak
455000.0;5.0;2.5;2240;7770;1.0;0;0;3;1340;900;1978;0;12633 NE 133rd Pl;Kirkland;WA 98034;USA;Tidak Layak
610000.0;4.0;3.0;2450;10117;1.0;0;0;5;1580;870;1967;0;15607 SE 42nd Ct;Bellevue;WA 98006;USA;Tidak Layak
563000.0;4.0;3.0;3100;15480;2.0;0;0;3;2400;700;1996;0;7422 NE 163rd St;Kenmore;WA 98028;USA;Tidak Layak
612500.0;4.0;2.0;2060;5000;1.0;0;0;3;1030;1030;1949;2013;1708 NW 96th St;Seattle;WA 98117;USA;Tidak Layak
218000.0;3.0;1.75;1850;7684;1.0;0;0;3;1320;530;1979;2014;33945 28th Pl SW;Federal Way;WA 98023;USA;Tidak Layak
404000.0;4.0;1.75;1840;10720;1.0;0;0;3;960;880;1958;2004;16020 SE 2nd St;Bellevue;WA 98008;USA;Tidak Layak
